animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,V,F,F,V,F,F,V,V,V,V,F,F,4,F,F,V,mammal
antelope,V,F,F,V,F,F,F,V,V,V,F,F,4,V,F,V,mammal
bass,F,F,V,F,F,V,V,V,V,F,F,V,0,V,F,F,fish
bear,V,F,F,V,F,F,V,V,V,V,F,F,4,F,F,V,mammal
boar,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
buffalo,V,F,F,V,F,F,F,V,V,V,F,F,4,V,F,V,mammal
calf,V,F,F,V,F,F,F,V,V,V,F,F,4,V,V,V,mammal
carp,F,F,V,F,F,V,F,V,V,F,F,V,0,V,V,F,fish
catfish,F,F,V,F,F,V,V,V,V,F,F,V,0,V,F,F,fish
cavy,V,F,F,V,F,F,F,V,V,V,F,F,4,F,V,F,mammal
cheetah,V,F,F,V,F,F,V,V,V,V,F,F,4,V,F,V,mammal
chicken,F,V,V,F,V,F,F,F,V,V,F,F,2,V,V,F,bird
chub,F,F,V,F,F,V,V,V,V,F,F,V,0,V,F,F,fish
clam,F,F,V,F,F,F,V,F,F,F,F,F,0,F,F,F,invertebrate
crab,F,F,V,F,F,V,V,F,F,F,F,F,4,F,F,F,invertebrate
crayfish,F,F,V,F,F,V,V,F,F,F,F,F,6,F,F,F,invertebrate
crow,F,V,V,F,V,F,V,F,V,V,F,F,2,V,F,F,bird
deer,V,F,F,V,F,F,F,V,V,V,F,F,4,V,F,V,mammal
dogfish,F,F,V,F,F,V,V,V,V,F,F,V,0,V,F,V,fish
dolphin,F,F,F,V,F,V,V,V,V,V,F,V,0,V,F,V,mammal
dove,F,V,V,F,V,F,F,F,V,V,F,F,2,V,V,F,bird
duck,F,V,V,F,V,V,F,F,V,V,F,F,2,V,F,F,bird
elephant,V,F,F,V,F,F,F,V,V,V,F,F,4,V,F,V,mammal
flamingo,F,V,V,F,V,F,F,F,V,V,F,F,2,V,F,V,bird
